"Sequence",0,1,2
"443218_Hoyosella_subflava-Corynebacteriales",-0.4722327,-0.9319669,0.32382298
"1272_Kocuria_varians-Micrococcales",-0.59645474,3.4551802,2.9288325
"1343740_Streptomyces_rapamycinicus-Streptomycetales",4.1270723,0.7098024,2.350884
"47989_Dactylosporangium_roseum-Micromonosporales",0.37219083,3.1264482,0.11972642
"2697565_Brevibacterium_limosum-Micrococcales",-0.33402264,2.0838323,3.6379128
"2599293_Humibacter_ginsenosidimutans-Micrococcales",-0.7012814,1.6433694,4.4837384
"249582_Streptomyces_libani-Streptomycetales",4.139929,1.0344772,2.2815456
"556288_Brachybacterium_saurashtrense-Micrococcales",-1.1494234,1.448872,4.3189282
"2763540_Actinomyces_trachealis-Actinomycetales",-0.5178946,1.3512576,4.4738917
"2782167_Microbacterium_luteum-Micrococcales",-1.1136438,4.0055842,2.84543
"1223523_Streptomyces_mobaraensis-Streptomycetales",4.1194124,0.87205195,2.2358208
"2737173_Actinomyces_marmotae-Actinomycetales",-0.43398678,1.5831611,4.557472
"196164_Corynebacterium_efficiens-Corynebacteriales",-0.18030751,-0.31562543,1.4199739
"193462_Streptomyces_niveus-Streptomycetales",4.5263767,0.39827192,3.0042593
"2594913_Corynebacterium_sanguinis-Corynebacteriales",-0.22779453,-0.5915277,1.495925
"53358_Intrasporangium_calvum-Micrococcales",-0.1701293,1.5060549,4.71291
"2035_Curtobacterium_flaccumfaciens-Micrococcales",-1.0869124,3.825226,2.6363127
"106370_Frankia_casuarinae-Frankiales",1.4477419,2.2096934,0.7367656
"319947_Streptomyces_durmitorensis-Streptomycetales",4.734498,0.5058954,3.0446799
"85085_Pseudarthrobacter_chlorophenolicus-Micrococcales",-0.4383154,3.2176764,3.1484175
"37332_Nocardia_seriolae-Corynebacteriales",-0.43276477,0.19648522,-0.2807033
"99653_Rhodococcus_koreensis-Corynebacteriales",-0.40727293,-1.3691292,0.5192237
"39694_Mycolicibacterium_poriferae-Corynebacteriales",-0.85843503,-2.0344048,0.36392832
"1783515_Streptomyces_qaidamensis-Streptomycetales",4.821932,0.48353514,3.146177
"256821_Gulosibacter_molinativorax-Micrococcales",-0.79040194,3.0358398,3.2785585
"67305_Streptomyces_hawaiiensis-Streptomycetales",4.8545647,0.49605465,3.1426291
"68239_Streptomyces_mirabilis-Streptomycetales",4.9032707,0.5361258,3.0125344
"2717324_Streptomyces_liangshanensis-Streptomycetales",4.537387,0.320755,3.0247374
"1744_Propionibacterium_freudenreichii-Propionibacteriales",0.5936112,2.0558815,2.7159758
"1908_Streptomyces_globisporus-Streptomycetales",4.848554,0.6125367,2.9613256
"1960_Streptomyces_vinaceus-Streptomycetales",4.3408012,1.0533864,3.0197306
"2518370_Nocardioides_euryhalodurans-Propionibacteriales",-0.26590157,1.6820278,4.861782
"89053_Gordonia_amicalis-Corynebacteriales",-0.6191317,-1.3851025,0.59998775
"1912_Streptomyces_hygroscopicus-Streptomycetales",4.1703424,0.7214273,2.4019547
"71999_Kocuria_palustris-Micrococcales",-0.3170185,2.9812105,3.0341263
"66892_Streptomyces_gardneri-Streptomycetales",4.9382286,0.473822,3.0610805
"2839105_Streptomyces_violaceusniger-Streptomycetales",4.1703424,0.7214273,2.4019547
"535712_Candidatus_Rhodoluna-Micrococcales",-0.27170324,2.6368012,1.5269947
"1804_Mycolicibacterium_gilvum-Corynebacteriales",-0.74470055,-2.039409,0.34586835
"1902_Streptomyces_coelicolor-Streptomycetales",4.7885265,0.4654339,3.0716302
"1224163_Corynebacterium_maris-Corynebacteriales",-0.1506871,-0.44531333,1.4445113
"2692125_Nanchangia_anserum-Actinomycetales",-0.5847899,1.6523511,4.245939
"1038928_Streptomyces_xinghaiensis-Streptomycetales",3.9094665,0.8743766,2.3125834
"33887_Rathayibacter_rathayi-Micrococcales",-0.84398544,4.0853424,2.7455208
"378753_Kocuria_rhizophila-Micrococcales",-0.6050111,3.1789784,3.2423491
"1385941_Bifidobacterium_breve-Bifidobacteriales",-1.3532524,-1.1454649,6.774583
"1127134_Nocardia_cyriacigeorgica-Corynebacteriales",-0.56145823,-0.14009511,-0.17931795
"33892_Mycobacterium_tuberculosis-Corynebacteriales",-0.82253766,-3.1319437,1.1836101
"1933880_Glutamicibacter_halophytocola-Micrococcales",-0.5870104,3.1188936,2.787634
"2735136_Corynebacterium_wankanglinii-Corynebacteriales",-0.2359854,-0.54168236,1.4637896
"43767_Prescottella_equi-Corynebacteriales",-0.45727026,-1.4135554,0.36445928
"77643_Mycobacterium_tuberculosis-Corynebacteriales",-0.82253766,-3.1319437,1.1836101
"936337_Microbacterium_amylolyticum-Micrococcales",-0.92110395,3.2092266,2.76581
"1612552_Actinoalloteichus_fjordicus-Pseudonocardiales",0.32881367,0.5317801,-0.17825985
"582680_Microbacterium_azadirachtae-Micrococcales",-1.0577543,3.906397,2.6336846
"114686_Streptomyces_phaeoluteigriseus-Streptomycetales",4.2870483,0.9587372,3.2859745
"1718_Corynebacterium_glutamicum-Corynebacteriales",-0.03128636,-0.53853905,1.3322222
"1830_Rhodococcus_ruber-Corynebacteriales",-0.53967,-1.3399036,0.4189477
"33010_Cutibacterium_avidum-Propionibacteriales",0.51684356,2.82907,2.1398497
"1935_Streptomyces_violaceoruber-Streptomycetales",4.838685,0.5596936,2.933424
"265949_Mycobacterium_pseudoshottsii-Corynebacteriales",-0.7796105,-3.1777844,1.1991119
"1748_Acidipropionibacterium_acidipropionici-Propionibacteriales",0.5579109,2.3294811,2.1246123
"37923_Rothia_kristinae-Micrococcales",-0.47074294,3.098436,3.0530272
"479432_Streptosporangium_roseum-Streptosporangiales",1.2010975,4.773163,-0.89485765
"28264_Arcanobacterium_haemolyticum-Actinomycetales",-0.30270135,1.6686985,3.500248
"2758573_Flaviflexus_equikiangi-Actinomycetales",-0.56667614,1.5240726,4.605099
"104336_Microbacterium_foliorum-Micrococcales",-1.1995211,4.133793,2.6231134
"33889_Brevibacterium_casei-Micrococcales",-0.194404,2.2057633,3.589591
"38288_Corynebacterium_genitalium-Corynebacteriales",-0.19301367,-0.65630484,1.4216815
"322509_Dietzia_kunjamensis-Corynebacteriales",-0.43377137,-0.8442421,0.91881156
"396015_Rothia_terrae-Micrococcales",-0.4656272,2.6228347,3.0690699
"1734031_Clavibacter_phaseoli-Micrococcales",-0.77085423,3.8302596,2.7283244
"2782168_Microbacterium_atlanticum-Micrococcales",-0.9855813,4.0405784,2.6837187
"2560010_Actinomyces_procaprae-Actinomycetales",-0.6764935,1.6264031,4.4129333
"1389713_Mycobacterium_paragordonae-Corynebacteriales",-0.87184393,-3.1368074,1.20034
"1147128_Bifidobacterium_asteroides-Bifidobacteriales",-1.2868569,0.029205918,5.6235723
"556499_Propionibacterium_acidifaciens-Propionibacteriales",0.27685934,2.136383,2.4837747
"1288636_Ornithinimicrobium_flavum-Micrococcales",-0.3915758,1.4678245,4.553006
"334542_Rhodococcus_qingshengii-Corynebacteriales",-0.31326067,-1.408721,0.42151856
"1285901_Tessaracoccus_defluvii-Propionibacteriales",0.17221922,2.5125685,1.9726255
"1770_Mycobacterium_avium-Corynebacteriales",-0.82940125,-3.1042926,1.2142322
"11_Cellulomonas_gilvus-Micrococcales",-0.19041014,1.8610015,4.231379
"67258_Streptomyces_cavourensis-Streptomycetales",4.8522015,0.547169,3.0306282
"1546107_Streptomyces_lydicamycinicus-Streptomycetales",4.162447,1.0817657,2.2807684
"139208_Isoptericola_variabilis-Micrococcales",-0.64914846,1.2476652,5.0340557
"1305738_Mycobacterium_orygis-Corynebacteriales",-0.82137,-3.131815,1.1838998
"1683_Bifidobacterium_angulatum-Bifidobacteriales",-1.2825999,-0.81293166,6.4302535
"2057800_Actinomyces_qiguomingii-Actinomycetales",-0.6715828,1.6596578,4.43173
"2419774_Protaetiibacter_intestinalis-Micrococcales",-1.1070914,3.7386851,2.7241688
"132919_Rhodococcus_jostii-Corynebacteriales",-0.43686247,-1.4007089,0.541296
"100225_Austwickia_chelonae-Micrococcales",0.30535537,2.383625,2.7504494
"1990687_Rhodococcus_oxybenzonivorans-Corynebacteriales",-0.42258418,-1.376416,0.54331446
"2758440_Changpingibacter_yushuensis-Actinomycetales",-0.5228021,1.1798867,4.2437553
"283878_Leucobacter_aridicollis-Micrococcales",-1.1533504,3.6611373,2.477829
"84292_Microbacterium_chocolatum-Micrococcales",-1.2049932,3.9762201,2.633238
"54571_Streptomyces_venezuelae-Streptomycetales",4.918165,0.442241,3.111733
"163604_Nocardiopsis_exhalans-Streptosporangiales",1.105447,3.1783457,0.21134281
"399497_Tessaracoccus_flavescens-Propionibacteriales",0.08955598,2.7484045,1.9738141
"351607_Acidothermus_cellulolyticus-Acidothermales",0.62913257,1.6002356,0.6415591
"2057246_Acidipropionibacterium_virtanenii-Propionibacteriales",0.5492013,2.799879,1.9307394
"262209_Janibacter_melonis-Micrococcales",-0.46409225,1.4373262,4.6235814
"2559073_Cutibacterium_modestum-Propionibacteriales",0.5363873,2.8626306,2.0762107
"146827_Corynebacterium_simulans-Corynebacteriales",-0.17809558,-0.35758996,1.4033017
"1547448_Arachnia_rubra-Propionibacteriales",0.36006576,2.7395458,2.177354
"710696_Intrasporangium_calvum-Micrococcales",-0.1701293,1.5060549,4.71291
"37326_Nocardia_brasiliensis-Corynebacteriales",-0.60488904,-0.20586348,-0.26508546
"37928_Arthrobacter_crystallopoietes-Micrococcales",-0.33661819,3.67294,2.8553092
"36805_Microbacterium_aurum-Micrococcales",-1.2591672,3.9530673,2.780281
"2499157_Aquiluna_borgnonia-Micrococcales",0.21902865,2.3556516,1.9653639
"68175_Streptomyces_antimycoticus-Streptomycetales",4.189168,0.7125794,2.4043765
"1687_Bifidobacterium_coryneforme-Bifidobacteriales",-1.2981629,-0.046661854,5.655918
"1138382_Mycobacterium_intracellulare-Corynebacteriales",-0.7637491,-2.215206,0.92882967
"110937_Rathayibacter_festucae-Micrococcales",-0.90078247,4.0736957,2.737926
"1122611_Nonomuraea_coxensis-Streptosporangiales",1.1696728,4.781432,-1.0427699
"1901_Streptomyces_clavuligerus-Streptomycetales",4.465707,0.85203886,3.2821457
"1930_Streptomyces_scabiei-Streptomycetales",4.842928,0.51257986,3.0514193
"84757_Beutenbergia_cavernae-Micrococcales",-0.54320407,1.3505256,4.6960583
"76862_Cellulomonas_iranensis-Micrococcales",-0.38580644,1.5945433,4.402404
"1890_Streptomyces_antibioticus-Streptomycetales",4.3794055,0.84159756,3.416091
"2675754_Occultella_kanbiaonis-Micrococcales",-0.22529733,2.1694226,3.6552732
"2220095_Cryobacterium_soli-Micrococcales",-0.76767147,3.8214622,2.7241998
"53360_Dactylosporangium_matsuzakiense-Micromonosporales",0.40186495,3.1246037,0.14599991
"1764_Mycobacterium_avium-Corynebacteriales",-0.82940125,-3.1042926,1.2142322
"2898795_Brevibacterium_zhoupengii-Micrococcales",-0.38469768,1.8738604,3.4953213
"2483799_Georgenia_faecalis-Micrococcales",-0.48658168,2.2056894,3.9154425
"552531_Bifidobacterium_animalis-Bifidobacteriales",-1.3342392,-0.7393048,6.254398
"2744574_Actinomyces_respiraculi-Actinomycetales",-0.45072925,1.4812132,4.413266
"1784719_Leucobacter_triazinivorans-Micrococcales",-1.2408917,3.7158923,2.4895186
"2051_Mobiluncus_curtisii-Actinomycetales",-0.3176242,1.1310723,4.3555665
"39478_Streptomyces_laurentii-Streptomycetales",4.4082494,0.89724356,3.1846411
"944492_Amycolatopsis_thermalba-Pseudonocardiales",-0.04909748,0.9979717,-0.56604457
"1661_Trueperella_pyogenes-Actinomycetales",-0.3159076,1.6241289,4.1460958
"1914461_Micromonospora_terminaliae-Micromonosporales",0.9064903,2.9316792,0.19477892
"675090_Actinomyces_weissii-Actinomycetales",-0.48863995,1.2751147,4.370905
"1686_Bifidobacterium_catenulatum-Bifidobacteriales",-1.1846619,-0.9529946,6.594631
"1319510_Streptomyces_fradiae-Streptomycetales",4.2925825,0.65847784,3.2010388
"43669_Brachybacterium_faecium-Micrococcales",-1.2332244,1.6817467,4.2000837
"72000_Kocuria_rhizophila-Micrococcales",-0.6963841,3.3259022,3.0151505
"2049881_Streptomyces_dengpaensis-Streptomycetales",4.5668497,0.9327327,3.2155132
"547043_Bifidobacterium_pseudocatenulatum-Bifidobacteriales",-1.178658,-0.95213723,6.594236
"33905_Bifidobacterium_thermophilum-Bifidobacteriales",-1.3830745,-0.96914077,6.7537184
"1920_Streptomyces_nigrescens-Streptomycetales",4.1305313,1.0864955,2.1915202
"465515_Micrococcus_luteus-Micrococcales",-0.51251876,2.4474409,2.8984919
"283811_Stackebrandtia_nassauensis-Glycomycetales",0.31735766,2.5147915,0.34565353
"759350_Bifidobacterium_longum-Bifidobacteriales",-1.3694351,-1.1528649,6.8186736
"318424_Mycobacterium_rufum-Corynebacteriales",-0.7711575,-2.0254195,0.35724282
"1680_Bifidobacterium_adolescentis-Bifidobacteriales",-1.2203093,-0.93511665,6.5749655
"1133546_Luteimicrobium_xylanilyticum-Micrococcales",-0.44112945,1.7253735,4.118836
"2509458_Microbacterium_protaetiae-Micrococcales",-1.0977443,4.117893,2.7969532
"372663_Isoptericola_dokdonensis-Micrococcales",-0.5086552,1.2421646,4.7912674
"216816_Bifidobacterium_longum-Bifidobacteriales",-1.3471746,-1.1466725,6.798918
"462710_Microbacterium_binotii-Micrococcales",-1.2285471,3.9948363,2.810726
"2849501_Nocardioides_panacis-Propionibacteriales",-0.2017219,1.5907305,4.567715
"29320_Paenarthrobacter_nicotinovorans-Micrococcales",-0.48947906,3.3360357,3.0360823
"35621_Streptomyces_mobaraensis-Streptomycetales",4.1251535,0.8683965,2.217288
"1809_Mycobacterium_ulcerans-Corynebacteriales",-0.78127337,-3.1776276,1.1990906
"1150461_Bifidobacterium_scardovii-Bifidobacteriales",-1.3346033,-1.101726,6.778515
"68043_Streptomyces_libani-Streptomycetales",4.139929,1.0344772,2.2815456
"1911_Streptomyces_griseus-Streptomycetales",4.8682632,0.56056434,3.0005095
"67263_Streptomyces_griseus-Streptomycetales",4.8682632,0.56056434,3.0005095
"412690_Microterricola_viridarii-Micrococcales",-1.0191622,3.947113,2.691313
"1544730_Kribbella_qitaiheensis-Propionibacteriales",1.0141053,2.378889,2.3793073
"2662397_Streptomyces_fagopyri-Streptomycetales",4.624275,0.77904767,3.3695767
"2608402_Cellulomonas_palmilytica-Micrococcales",-0.18131196,1.7737035,4.338584
"37930_Glutamicibacter_protophormiae-Micrococcales",-0.58744764,3.0530922,2.7120707
"1526412_Microbacterium_endophyticum-Micrococcales",-1.0737679,4.0578823,2.7951179
"1170318_Cutibacterium_avidum-Propionibacteriales",0.51684356,2.82907,2.1398497
"2283195_Ornithinimicrobium_avium-Micrococcales",-0.3928523,1.3093117,4.6688747
"47850_Micromonospora_aurantiaca-Micromonosporales",0.7897691,3.020461,0.13941073
"1828_Rhodococcus_fascians-Corynebacteriales",-0.58145964,-1.7243254,0.46614122
"1758689_Serinicoccus_hydrothermalis-Micrococcales",-0.3550049,1.3798916,4.5574574
"953739_Streptomyces_venezuelae-Streptomycetales",4.918165,0.442241,3.111733
"156980_Arthrobacter_woluwensis-Micrococcales",-0.48308146,3.1273508,3.027285
"59737_Rathayibacter_iranicus-Micrococcales",-0.90035045,4.027586,2.721978
"43663_Paenarthrobacter_aurescens-Micrococcales",-0.531899,3.3111842,3.1023395
"2859226_Mycetocola_spongiae-Micrococcales",-0.960335,3.744388,2.808136
"1781_Mycobacterium_marinum-Corynebacteriales",-0.78127337,-3.1776276,1.1990906
"42239_Streptomyces_sampsonii-Streptomycetales",4.4394903,0.77796215,3.2973127
"457428_Streptomyces_lividans-Streptomycetales",4.7885265,0.4654339,3.0716302
"2566013_Cellulomonas_shaoxiangyii-Micrococcales",-0.5802473,1.8985776,4.1535687
"1729695_Gulosibacter_sediminis-Micrococcales",-0.93284893,3.1818838,3.0659816
"249567_Streptomyces_decoyicus-Streptomycetales",4.228451,1.0438035,2.1777577
"1685_Bifidobacterium_breve-Bifidobacteriales",-1.3532524,-1.1454649,6.774583
"998092_Mycobacterium_tuberculosis-Corynebacteriales",-0.88095975,-2.8470716,0.9819517
"37329_Nocardia_farcinica-Corynebacteriales",-0.6059176,-0.123487055,-0.27856803
"68192_Streptomyces_cyaneogriseus-Streptomycetales",4.45341,0.94750285,3.2712433
"388459_Mycobacterium_crocinum-Corynebacteriales",-0.63195014,-0.29662633,-0.1575334
"1710_Cellulosimicrobium_cellulans-Micrococcales",-0.5733423,1.2664129,4.8857393
"1331682_Brachybacterium_ginsengisoli-Micrococcales",-1.2080114,1.5411379,4.354888
"471857_Saccharomonospora_viridis-Pseudonocardiales",0.13800567,0.35871297,-0.30835938
"1889_Streptomyces_ambofaciens-Streptomycetales",4.580919,0.88373816,3.3556995
"1833_Rhodococcus_erythropolis-Corynebacteriales",-0.3092556,-1.3996413,0.4246981
"39695_Mycolicibacterium_tokaiense-Corynebacteriales",-0.8393998,-2.2439475,0.5093949
"246196_Mycolicibacterium_smegmatis-Corynebacteriales",-0.72217536,-2.0661411,0.42669797
"622664_Ornithinibacter_aureus-Micrococcales",-0.4130869,1.3486652,4.6103516
"763993_Pseudokineococcus_lusitanus-Kineosporiales",0.44775453,3.2133665,1.5405786
"1033736_Brevibacterium_senegalense-Micrococcales",-0.21536934,2.1351767,3.2845936
"1043493_Demequina_mangrovi-Micrococcales",-0.7128631,1.6647694,3.8765013
"568860_Nonomuraea_wenchangensis-Streptosporangiales",1.1876487,4.781861,-1.0325861
"2494735_Cellulomonas_endophytica-Micrococcales",-0.6131934,1.9313121,4.137125
"2814589_Streptomyces_plumbidurans-Streptomycetales",4.825008,0.54095316,3.0331066
"2663842_Streptomyces_nymphaeiformis-Streptomycetales",4.5232162,0.7324119,3.2555552
"433648_Nocardioides_sediminis-Propionibacteriales",-0.2900505,1.4584501,4.9274235
"1286938_Nonomuraea_harbinensis-Streptosporangiales",1.1762937,4.7368994,-1.0061381
"1164595_Mycetocola_zhadangensis-Micrococcales",-0.7948432,3.8050718,2.5638924
"588067_Prauserella_muralis-Pseudonocardiales",0.10521972,1.559469,-0.91143703
"406431_Actinomadura_alba-Streptosporangiales",1.1012871,3.8901796,-0.20944262
"66422_Streptomyces_cinerochromogenes-Streptomycetales",4.3824434,0.8641209,3.4260092
"53378_Mycobacterium_paraffinicum-Corynebacteriales",-0.7713208,-3.2077742,1.2665213
"508770_Sciscionella_marina-Pseudonocardiales",0.07896429,1.3694687,-0.4914956
"1522309_Flaviflexus_massiliensis-Actinomycetales",-0.6263944,1.4460201,4.606586
"882824_Knoellia_locipacati-Micrococcales",-0.51058877,1.0047972,4.7591033
"993070_Pseudarthrobacter_enclensis-Micrococcales",-0.46874297,3.2157488,3.163335
"431489_Demequina_lutea-Micrococcales",-0.53742313,1.7601495,3.565162
"67348_Streptomyces_prunicolor-Streptomycetales",4.832284,0.51991194,3.0948987
"592678_Haloechinothrix_halophila-Pseudonocardiales",0.16910166,0.457546,-0.17307138
"96468_Nocardia_vinacea-Corynebacteriales",-0.6873168,-0.08279836,-0.33365965
"996641_Kribbella_amoyensis-Propionibacteriales",1.0310355,2.446959,2.4319544
"33876_Catenuloplanes_japonicus-Micromonosporales",0.48232752,3.275139,0.39752698
"2172019_Nocardioides_pelophilus-Propionibacteriales",-0.11169082,1.6112251,4.9800043
"234613_Asanoa_iriomotensis-Micromonosporales",0.5432441,2.604834,0.20139503
"1255625_Brevibacterium_casei-Micrococcales",-0.17950416,2.1948533,3.602431
"337895_Actinomadura_hallensis-Streptosporangiales",1.2646663,4.39985,-0.23419166
"68243_Streptomyces_niveoruber-Streptomycetales",4.3898296,1.003745,3.2650068
"321325_Williamsia_deligens-Corynebacteriales",-0.39173973,-0.77569616,0.40487528
"882441_Actinoplanes_abujensis-Micromonosporales",0.32387698,3.7018719,-0.32688284
"240840_Actinomadura_meyerae-Streptosporangiales",1.1793113,4.4155035,-0.16107202
"2711219_Streptomyces_boncukensis-Streptomycetales",3.872563,1.3229812,2.938889
"225051_Nocardia_alba-Corynebacteriales",-0.53916025,-0.11740047,-0.16809869
"2590901_Aeromicrobium_piscarium-Propionibacteriales",-0.17543328,1.8306768,4.2832246
"672460_Branchiibius_hedensis-Micrococcales",-0.720732,1.3831358,4.7419195
"908846_Pseudoclavibacter_caeni-Micrococcales",-0.64207447,3.0775568,3.3471358
"2773426_Nocardioides_malaquae-Propionibacteriales",-0.45721734,2.1971684,4.3620734
"547334_Arthrobacter_pityocampae-Micrococcales",-0.2292397,3.290175,2.858731
"453573_Actinomadura_bangladeshensis-Streptosporangiales",1.2878085,4.333749,-0.18002367
"1630173_Bifidobacterium_catulorum-Bifidobacteriales",-1.2827675,-0.23899531,6.1082025
"257274_Nocardia_vermiculata-Corynebacteriales",-0.69853044,-1.5042772,0.53840685
"565073_Streptomyces_tateyamensis-Streptomycetales",3.755,0.84579265,2.9414003
"1908205_Mycobacterium_syngnathidarum-Corynebacteriales",-0.72035754,-2.1103163,0.4190557
"1686285_Leucobacter_massiliensis-Micrococcales",-1.1715872,3.5855987,2.5911028
"1631743_Brevibacterium_ihuae-Micrococcales",-0.48639953,2.3727036,3.4754775
"1854586_Amycolatopsis_antarctica-Pseudonocardiales",0.33300292,0.8134646,-0.43042803
"1753_Propioniferax_innocua-Propionibacteriales",0.21202815,2.9303555,2.2282662
"882448_Nonomuraea_jabiensis-Streptosporangiales",1.1614687,4.819952,-0.98113227
"33904_Streptomyces_mashuensis-Streptomycetales",4.091875,0.8714106,2.2793045
"2803911_Nakamurella_leprariae-Nakamurellales",0.5182918,0.29410863,0.54778576
"293050_Rhodococcus_kroppenstedtii-Corynebacteriales",-0.37685037,-0.33640015,-0.16728425
"76022_Amycolatopsis_sulphurea-Pseudonocardiales",0.24818343,0.6928543,-0.4604237
"66428_Streptomyces_parvus-Streptomycetales",4.509904,0.7930377,3.2631037
"47839_Mycobacterium_triplex-Corynebacteriales",-0.8490329,-3.1113245,1.1052698
"415209_Microbacterium_marinilacus-Micrococcales",-0.87624013,3.6432993,2.9768674
"2691959_Nocardioides_flavescens-Propionibacteriales",-0.58307636,2.153233,4.425604
"327277_Bifidobacterium_crudilactis-Bifidobacteriales",-1.2971182,-0.1377297,5.836993
"1775135_Streptomyces_boluensis-Streptomycetales",4.019812,1.0007234,2.2042894
"673521_Blastococcus_endophyticus-Geodermatophilales",0.93656296,2.0651906,1.0176818
"56055_Bogoriella_caseilytica-Micrococcales",-0.5986111,1.7520921,4.51552
"574650_Micrococcus_terreus-Micrococcales",-0.48477328,2.9008112,2.7201593
"2530375_Kribbella_turkmenica-Propionibacteriales",1.0919337,2.3654425,2.3627129
"1487726_Mycobacterium_persicum-Corynebacteriales",-0.8973571,-3.3166595,1.2974007
"1299326_Mycobacterium_kansasii-Corynebacteriales",-0.8617693,-3.1909103,1.2249092
"123320_Okibacterium_fritillariae-Micrococcales",-1.0189313,3.7137797,2.696211
"258533_Mycolicibacterium_cosmeticum-Corynebacteriales",-0.8327246,-2.1076894,0.6515968
"2213161_Modestobacter_excelsi-Geodermatophilales",1.0082798,2.2608688,0.87511206
"78345_Bifidobacterium_merycicum-Bifidobacteriales",-1.270555,-0.8333255,6.5112076
"1284240_Amycolatopsis_decaplanina-Pseudonocardiales",0.4379741,0.8854423,-0.66555905
"2736605_Microbacterium_ihumii-Micrococcales",-1.2055638,4.0725,2.5853183
"2812850_Leucobacter_soli-Micrococcales",-0.9105061,3.6281037,2.6262364
"2879464_Rhodococcus_yananensis-Corynebacteriales",-0.4181707,-1.119014,0.27214313
"1122247_Mycolicibacterium_hassiacum-Corynebacteriales",-0.6567832,-2.0582504,0.5971391
"1138585_Sediminihabitans_luteus-Micrococcales",-0.6747377,2.0851674,4.0086517
"164115_Streptomyces_niveiscabiei-Streptomycetales",4.8661795,0.49976796,3.067861
"286438_Agromyces_hippuratus-Micrococcales",-1.0442554,3.903461,2.7235615
"2796465_Streptomyces_adelaidensis-Streptomycetales",4.5759845,0.764842,3.4230623
"163603_Actinomadura_latina-Streptosporangiales",1.2704098,4.4069014,-0.12509012
"401106_Amycolatopsis_tucumanensis-Pseudonocardiales",-0.034340203,1.0131392,-0.54467607
"83291_Streptomyces_armeniacus-Streptomycetales",3.8567283,1.2054695,2.8053617
"124252_Nocardiopsis_halotolerans-Streptosporangiales",1.1349839,3.081891,0.12622213
"2479848_Tessaracoccus_antarcticus-Propionibacteriales",0.21771067,2.3838627,2.3340633
"66873_Streptomyces_bellus-Streptomycetales",4.950761,0.40949005,3.1427581
"43990_Corynebacterium_segmentosum-Corynebacteriales",-0.23022604,-0.38229072,1.3938766
"66371_Streptomyces_fumigatiscleroticus-Streptomycetales",4.505825,0.91250527,3.2956564
"1266829_Kribbella_albertanoniae-Propionibacteriales",1.1038786,2.3027713,2.3618963
"1505727_Bifidobacterium_commune-Bifidobacteriales",-1.2559991,-0.78769886,6.524456
"43355_Crossiella_cryophila-Pseudonocardiales",0.2015742,0.51864374,-0.3155651
"2783664_Nocardioides_lacusdianchii-Propionibacteriales",-0.15969694,1.5381656,4.99032
"2546344_Cumulibacter_soli-Geodermatophilales",0.65990686,2.684101,0.3062389
"1962131_Propionibacterium_ruminifibrarum-Propionibacteriales",0.14048958,2.3180027,2.6757455
"2483353_Streptomyces_triticirhizae-Streptomycetales",3.4756913,1.5206778,2.6273403
"218822_Amycolatopsis_lexingtonensis-Pseudonocardiales",0.26581466,1.7500486,-0.9491794
"664638_Leucobacter_salsicius-Micrococcales",-1.3300285,3.7217414,2.2408116
"2072026_Propioniciclava_flava-Propionibacteriales",0.43009037,2.5745928,2.2974372
"184756_Nocardia_caishijiensis-Corynebacteriales",-0.6161306,-0.07227701,-0.24815798
"1629062_Antricoccus_suffuscus-Geodermatophilales",1.0433972,2.314702,0.71279526
"1287878_Actinoplanes_lutulentus-Micromonosporales",0.34033316,3.2898881,-0.062075853
"2126555_Glycomyces_paridis-Glycomycetales",0.16339147,2.1832137,0.61158633
"249581_Streptomyces_ossamyceticus-Streptomycetales",4.584674,0.8807576,3.3651829
"228230_Mycolicibacterium_canariasense-Corynebacteriales",-0.82838833,-2.1050174,0.6189103
"2800381_Streptomyces_diacarni-Streptomycetales",3.9252775,1.1988761,3.0224009
"76021_Amycolatopsis_coloradensis-Pseudonocardiales",0.45448437,0.8938405,-0.6528621
"2897352_Nocardioides_alcanivorans-Propionibacteriales",-0.57731116,1.8690797,4.349019
"47845_Brachybacterium_alimentarium-Micrococcales",-1.07461,1.7735696,4.2339754
"1144618_Allonocardiopsis_opalescens-Streptosporangiales",1.0592166,3.5788586,0.010627985
"1292039_Cutibacterium_acnes-Propionibacteriales",0.4009748,2.7716284,2.1095915
"1716077_Microlunatus_endophyticus-Propionibacteriales",0.5956688,2.3169365,2.5652637
"117567_Mycobacterium_frederiksbergense-Corynebacteriales",-0.6243944,-2.108392,0.72557473
"2800820_Occultella_gossypii-Micrococcales",-0.14563799,2.825482,3.1148338
"2707006_Microbacterium_paulum-Micrococcales",-0.984228,4.197013,2.4330492
"2493119_Bifidobacterium_xylocopae-Bifidobacteriales",-1.2535241,-0.06643051,5.4956183
"2591470_Lentzea_tibetensis-Pseudonocardiales",0.12711036,0.54247296,-0.37997103
"2291022_Arthrobacter_silvisoli-Micrococcales",-0.43465626,3.20555,3.0653327
"290231_Nocardia_exalbida-Corynebacteriales",-0.6636677,-0.16525173,-0.21951795
"67280_Streptomyces_bobili-Streptomycetales",4.250615,0.89924383,3.3395796
"595671_Amnibacterium_kyonggiense-Micrococcales",-0.87771416,3.4571843,2.7028255
"1852390_Corynebacterium_fournieri-Corynebacteriales",-0.2243383,-0.5485908,1.4486963
"1755098_Brachybacterium_massiliense-Micrococcales",-1.0228672,1.5342462,4.3865976
